quote,author,category
"It sometimes entered Mr. Pontellier's mind to wonder if his wife were not growing a little unbalanced mentally. He could see plainly that she was not herself. That is, he could not see that she was becoming herself and daily casting aside that fictitious self which we assume like a garment with which to appear before the world.","Kate Chopin, The Awakening","mental-health, women"
"When we realize we can make a buck cleaning up the environment, it will be done!",Dennis Weaver,"Environment, Realize "
"I can't tell you why I was in love with her. People didn't require that much as they do now. Folks were expected to be civilized to one another, honest, and - and clear. You relied on people being what they said they were, because there was no other way to survive.",Toni Morrison,"civilization, love, people, society"
Superior poets say what they really feel. Mediocre poets say what they decide to feel. Inferior poets say what they think they should feel.,Álvaro de Campos,"feeling, inferior, life, meaning, mediocre, paganism, pantheism, poet, poetry, poets, reality, superior, thinking, truth, writing"
Soon it will all be a memory and memories decay and deform over time.,"Megan Rivers, A Fateful Melody: A Fictional Memoir","megan-rivers, music, new-adult-fiction, new-adult-romance, young-adult-fiction, young-adult-romance"
Some stories aren’t black and white…,C.J. Roberts,"dark, erotic, novel, roberts, seduced"
The principle of procrastinated rape is said to be the ruling one in all the great bestsellers.,V. S. Pritchett,"sanity, insanity"
At first people refuse to believe that a strange new thing can be done  then they begin to hope it can be done  then they see it can be done-then it is done and all the world wonders why it was not done centuries ago.,Frances Hodgson Burnett,ignorance
"What had happened was that the formal pattern of black-and-white, mistress-and-servant, had been broken by the personal relation; and when a white man in Africa by accident looks into the eyes of a native and sees the human being (which it is his chief preoccupation to avoid), his sense of guilt, which he denies, fumes up in resentment and he brings down the whip.","Doris Lessing, The Grass is Singing","africa, colonialism, rhodesia, slavery"
"An enemy is always an enemy, even when they're an ally."" - Taraeth","Donna Grant, Hot Blooded","dragons, scotland"
"We are brilliant shades of light, we can not be contained""-Boys of the Fatherless-",David C. Riggins,"christian, coming-of-age, dystopian, gay, love"
"I asked Mama was it a sin to do what I done, and she said no, it was the same as David slaying Goliath, it was only to save Ulyssa and the others, not because of meanness that I did it. I would do it again, too. I am not sorry, but this has hurt my heart and spirit more than all the other trials, for being forsaken is worse than being killed.","Nancy E. Turner, These Is My Words: The Diary of Sarah Agnes Prine, 1881-1901, Arizona Territories","guilt, self-defense"
"We had twenty eight days together but it feels like a lifetime. She’s right, without her it feels like I’m being strangled and fighting for air. I can’t just sit here day after day wishing I could at least see her face. -Colin","K. Lars, Committed","couples, heartbreak, love, romance"
"I like to have a martini,Two at the very most.After three I'm under the table,after four I'm under my host.","Dorothy Parker, The Collected Dorothy Parker","drinking, drunken-behaviour, humor"
"Edgar, there's a difference between missing him and wanting nothing to change,"" she said. ""They aren't the same things at all. And we can't do anything about either one. Things always change. Things would be changing right now if your father were alive, Edgar. That's just life. You can fight it or you accept it. The only difference is, if you accept it, you can get to do other things. If you fight it, you're stuck in the same spot forever. Does that make sense?""But aren't some changes worth fighting?""You know that's true.""So how do you know which is which?""I don't know a way to tell for sure,"" she said. ""You ask, 'Why am I really fighting this?' If the answer is 'Because I'm scared of what things will be like,' then, most times, you're fighting for the wrong reason.""And if that's not the answer?""Then you dig in your heels and you fight and fight and fight. But you have to be absolutely sure you can handle a different kind of change, because in the end, things will change anyway, just not that way. In fact, if you get into a fight like that, it pretty much guarantees things are going to change.","David Wroblewski, The Story of Edgar Sawtelle","change, life"
"In a child's eyes, a mother is a goddess. She can be glorious or terrible, benevolent or filled with wrath, but she commands love either way. I am convinced that this is the greatest power in the universe.","N.K. Jemisin, The Hundred Thousand Kingdoms","childhood, children, mother, motherhood"
"Then they start going on about cancer and how organic living is the way forward, totally ignoring how expensive it is to be organic and that there are a lot of people out there grateful if they can afford regular living.","Lisa O'Donnell, The Death of Bees","organic-food, poverty"
Be kind to every person you meet because we don't know their battles.,Zelda la Grange,kindness
The most important duty of a person is to love himself wholeheartedly.,Debasish Mridha,"education, happiness, hope, inspirational, intelligence, knowledge, life, love, philosophy, quotes, truth, wisdom"
"That, sir, depends on whether I embrace your mistress or your politics.",John Wilkes,"Embrace, Mistress, Sir "
"Everton"" (Francis)Alex turned his head to view a rainbow peacock mask bobbing toward him. ""Good Lord, Francis, you are replendent,"" he said admiringly.The peacock stopped beside him. ""Dash it, Everton, how'd you know it was me?""You're still wearing your faux ruby ring.","Suzanne Enoch, Lady Rogue","humor, masquerade, romance"
"If Mohammed had been a false prophet. there is no reason why Christ should not have spoken of him as he spoke of Antichrist but if Mohammed is a true Prophet the passages referring to the Paraclete must inevitably concern him - not exclusively but eminently - for it is inconceivable that Christ, when speaking of the future, should have passed over in silence a manifestation of such magnitude. The same reasoning excludes a priori the possibility that Christ. when making his predictions, intended to include Mohammed under the general denomination of'' false prophets"", for in the history of our era Mohammed is in no sense a typical example among others of the same kind, but on the contrary, a unique and incomparable apparition(1). If he had been one of the false prophets announced by Christ he would have been followed by others and there would exist in our day a multitude of false religions subsequent to Christ and comparable in importance and extension to Islam. The spirituality to be found within Islam from its origins up to our days is an incontestable fact. and ""by their fruits ye shall know them."" Moreover, it will be recalled that the Prophet in his doctrine has testified to the second coming of Christ without attributing to himself any glory. unless it be that of being the last Prophet of the cycle and history proves that he spoke the truth, no comparable manifestation having followed after him.","Frithjof Schuon, The Transcendent Unity of Religions","christianity, islam, paraclete, prophet, prophet-muhammad"
